ID	ABCG2	Type	CancerType
TCGA-XF-AAMY-01A	0.29390086	Tumor	BLCA
TCGA-GU-A763-01A	0.2855881	Tumor	BLCA
TCGA-FD-A3B7-01A	0.6208285	Tumor	BLCA
TCGA-FD-A3NA-01A	0.3306759	Tumor	BLCA
TCGA-CF-A47T-01A	0.628194323	Tumor	BLCA
TCGA-CU-A0YN-11A	0.627765221	Normal	BLCA
TCGA-BT-A0S7-01A	0.420869742	Tumor	BLCA
TCGA-GC-A3BM-01A	0.8619269	Tumor	BLCA
TCGA-GD-A3OP-01A	1.216594548	Tumor	BLCA
TCGA-SY-A9G5-01A	0.3621535	Tumor	BLCA
TCGA-KQ-A41S-01A	1.444819	Tumor	BLCA
TCGA-4Z-AA7M-01A	0.264961151	Tumor	BLCA
TCGA-FD-A3SJ-01A	0.844012052	Tumor	BLCA
TCGA-E7-A677-01A	0.3938998	Tumor	BLCA
TCGA-UY-A8OD-01A	0.25480011	Tumor	BLCA
TCGA-DK-AA6L-01A	0.069725466	Tumor	BLCA
TCGA-GD-A2C5-01A	0.597047691	Tumor	BLCA
TCGA-K4-A4AC-01A	0.108758157	Tumor	BLCA
TCGA-FD-A62O-01A	1.189175782	Tumor	BLCA
TCGA-BT-A2LB-01A	0.167213607	Tumor	BLCA
TCGA-FD-A3N5-01A	0.256017	Tumor	BLCA
TCGA-G2-A3VY-01A	1.094805446	Tumor	BLCA
TCGA-DK-A1AA-01A	1.052469311	Tumor	BLCA
TCGA-XF-A9SY-01A	0.792122826	Tumor	BLCA
TCGA-DK-AA6Q-01A	2.139683219	Tumor	BLCA
TCGA-G2-A2EL-01A	0.869145098	Tumor	BLCA
TCGA-E7-A6ME-01A	0.9191994	Tumor	BLCA
TCGA-HQ-A2OF-01A	0.614582038	Tumor	BLCA
TCGA-FD-A6TF-01A	0.2503269	Tumor	BLCA
TCGA-FD-A3SP-01A	0.3743814	Tumor	BLCA
TCGA-BT-A20P-01A	0.63430693	Tumor	BLCA
TCGA-GV-A40G-01A	0.864837482	Tumor	BLCA
TCGA-CF-A47S-01A	0.7266868	Tumor	BLCA
