ID	ABCG1	ABCG2	ABCG4	ABCG5	ABCG8	Type	CancerType
TCGA-DK-A2I1-01A	3.142269	0.38886	0.02813838	0.05372975	0.03770983	Tumor	BLCA
TCGA-CF-A5U8-01A	4.093767	1.056194	0.04596385	0.02600789	0.01215958	Tumor	BLCA
TCGA-UY-A9PB-01A	2.175988503	0.745317328	0.042303603	0.090168769	0.028577442	Tumor	BLCA
TCGA-DK-A3X1-01A	2.87636419	0.203735691	0.042857499	0.024238887	0.022569353	Tumor	BLCA
TCGA-DK-A1AC-01A	1.58542	0.6107121	0.07166389	0.1358368	0.008618728	Tumor	BLCA
TCGA-FD-A62N-01A	3.228121	0.2686378	0.03079705	0.01738625	0	Tumor	BLCA
TCGA-DK-AA75-01A	1.328637726	1.447018665	0.068985952	0.194706969	0.119607711	Tumor	BLCA
TCGA-XF-A9SL-01A	2.208232577	0.871499809	0.105224148	0	0.012179663	Tumor	BLCA
TCGA-XF-A9T4-01A	2.375622	0.2966349	0.07969822	0.004924861	0.006869842	Tumor	BLCA
TCGA-XF-AAN2-01A	2.7451878	1.717876801	0.039116312	0.013306941	0	Tumor	BLCA
TCGA-BT-A2LD-01A	3.226865	8.618861	0.0602175	0.0425578	0	Tumor	BLCA
TCGA-BT-A20N-11A	2.234831223	0.407509361	0.014488383	0.024340393	0	Normal	BLCA
TCGA-ZF-A9R1-01A	3.941763317	0.258098209	0.010367089	0.034658909	0	Tumor	BLCA
TCGA-ZF-A9R9-01A	1.048256481	0.436677512	0.014528387	0.77955083	0.44067778	Tumor	BLCA
TCGA-DK-A6AV-01A	3.053544939	0.469531686	0.013140581	0.065260343	0.045856863	Tumor	BLCA
TCGA-XF-AAMY-01A	4.098889621	0.29390086	0.086760232	0.066942395	0.162639008	Tumor	BLCA
TCGA-GU-A763-01A	2.864819	0.2855881	0	0.03343795	0.01565483	Tumor	BLCA
TCGA-FD-A3B7-01A	2.398557	0.6208285	0.09247707	0.02553247	0.008961437	Tumor	BLCA
TCGA-FD-A3NA-01A	3.233335	0.3306759	0.2278187	0.1806888	0.1402994	Tumor	BLCA
TCGA-CF-A47T-01A	3.091373137	0.628194323	0.054732507	0.050402657	0.011884103	Tumor	BLCA
TCGA-CU-A0YN-11A	1.777485133	0.627765221	0.035676396	0	0	Normal	BLCA
TCGA-BT-A0S7-01A	1.454825884	0.420869742	0.200261073	0.131212981	0.068092576	Tumor	BLCA
TCGA-GC-A3BM-01A	3.338973	0.8619269	0.01794214	0.08135815	0.05215	Tumor	BLCA
TCGA-GD-A3OP-01A	3.145929516	1.216594548	0.119378255	0.033627107	0.015743937	Tumor	BLCA
TCGA-SY-A9G5-01A	2.780689	0.3621535	0.05776312	0.08675352	0	Tumor	BLCA
TCGA-KQ-A41S-01A	2.948497	1.444819	0.1029544	0.05153869	0	Tumor	BLCA
TCGA-4Z-AA7M-01A	2.646368382	0.264961151	0.02928665	0.019813149	0.054646671	Tumor	BLCA
TCGA-FD-A3SJ-01A	3.695175812	0.844012052	0.105665113	0.109856837	0.144286366	Tumor	BLCA
TCGA-E7-A677-01A	4.158805	0.3938998	0.05815838	0.04917415	0.02766271	Tumor	BLCA
TCGA-UY-A8OD-01A	2.031178586	0.25480011	0.016478398	0.107634175	0.038479776	Tumor	BLCA
TCGA-DK-AA6L-01A	3.197012949	0.069725466	0.024339025	0.020541873	0	Tumor	BLCA
TCGA-GD-A2C5-01A	3.874211883	0.597047691	0.04455017	0.061092512	0.019228772	Tumor	BLCA
TCGA-K4-A4AC-01A	0.846753474	0.108758157	0.100145902	0.018285588	0	Tumor	BLCA
TCGA-FD-A62O-01A	3.188325626	1.189175782	0.03127181	0	0	Tumor	BLCA
TCGA-BT-A2LB-01A	3.896714843	0.167213607	0.058083809	0.018613047	0.034451702	Tumor	BLCA
TCGA-FD-A3N5-01A	0.9275957	0.256017	0.08473661	0.02163304	0	Tumor	BLCA
TCGA-G2-A3VY-01A	3.270435795	1.094805446	0.119737837	0.0841575	0.083916459	Tumor	BLCA
TCGA-DK-A1AA-01A	3.644867549	1.052469311	0.051303242	0.116244431	0	Tumor	BLCA
TCGA-XF-A9SY-01A	3.273466099	0.792122826	0.236807892	0.01054263	0	Tumor	BLCA
TCGA-DK-AA6Q-01A	2.533002331	2.139683219	0.047164009	0.171266403	0.315412993	Tumor	BLCA
TCGA-G2-A2EL-01A	2.642064536	0.869145098	0.155234488	0.083854094	0.008012253	Tumor	BLCA
TCGA-E7-A6ME-01A	3.010329	0.9191994	0.1749315	0.1039352	0.1054567	Tumor	BLCA
TCGA-HQ-A2OF-01A	1.63534777	0.614582038	0.027935573	0.114234051	0.205843242	Tumor	BLCA
TCGA-FD-A6TF-01A	1.80397	0.2503269	0.06035683	0.02938583	0.05089111	Tumor	BLCA
TCGA-FD-A3SP-01A	2.205779	0.3743814	0.1022066	0.02828801	0	Tumor	BLCA
TCGA-BT-A20P-01A	2.436930019	0.63430693	0.112050119	0.159237623	0.038645465	Tumor	BLCA
TCGA-GV-A40G-01A	1.457105223	0.864837482	0.064477207	0.012298329	0.017138079	Tumor	BLCA
TCGA-CF-A47S-01A	4.416408	0.7266868	0.04325846	0.04223369	0	Tumor	BLCA
TCGA-XF-A9T2-01A	1.392367831	1.118496751	0.085792157	1.503962272	0.62728997	Tumor	BLCA
TCGA-CF-A9FH-01A	2.926126734	0.530179326	0.030256079	0.070413369	0.042535108	Tumor	BLCA
TCGA-ZF-AA4X-01A	2.025587372	0.319085454	0.070884031	0.016238554	0.066813697	Tumor	BLCA
